ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"17825","xdddddddd","P","Worén, Sjunne","2026-05-15 10:16:30"
"17833","Thunder Crows","L","Spiczak-Brzeziński, Andrzej","2026-05-15 14:38:15"
"17822","Voléro Zürich V.B.C.","Ś","Storvall, Nils-Johan","2026-05-15 18:41:26"
"15191","VK Elaja","L","Garcez, Ernesto","2026-05-15 20:32:02"
"17835","Glo","Ś","Frestadius, Jöran","2026-05-15 20:51:17"
"17826","Volkoff INC","P","Jardim, Jairo","2026-05-15 21:31:55"
"17824","Charlie’s angels","A","Dudov, Svetoslav","2026-05-15 23:09:49"
"17828","C.A.D. Trisquel","A","Thompson, Brian","2026-05-16 01:51:55"
"17823","LOKOMOTIV","P","Dehut, Dominique","2026-05-16 04:53:41"
"17832","Manila Mavericks","A","Żak, Adam","2026-05-16 05:03:55"
"15192","FC Szury","R","Martineau, Vincent","2026-05-16 05:44:29"
"17824","BajaBongo","P","Bojko, Janusz","2026-05-16 07:16:34"
"17832","Lohsers","R","Zalewski, Mariusz","2026-05-16 08:02:52"
"17832","Strath","P","Dimming, Tage","2026-05-16 08:41:29"
"17827","Warriors Academy","Ś","Cravo, Vasco","2026-05-16 08:41:33"
"15192","🇯🇲 - FPC_VM - 💫","R","Drabek, Mieczysław","2026-05-16 10:09:08"
"17835","77FC","A","Moulin, Bastien","2026-05-16 12:03:13"
"15191","Gibiskus","P","Petrunov, Petar","2026-05-16 15:28:47"
"17834","ВК ШИННИК","L","Duduković, Marko","2026-05-16 16:08:00"
"17822","Ankaraspor","P","Schaub, Örjan","2026-05-16 18:33:51"
"15190","pao1979","Ś","Steele, Colby","2026-05-16 18:58:17"
"15189","OK SPARTAK LJIG","Ś","Tobiasz, Andrzej","2026-05-16 18:58:18"
"15189","Allava","P","Avşar, Algan","2026-05-16 19:41:31"
"15190","BVC","L","Magalhães, Dermeval","2026-05-16 23:06:51"
"17827","Warriors Academy","A","Vieira, Audrey","2026-05-17 00:28:21"
"15190","VK SKY IMPREZA BARDEJOV","L","Mietła, Andrzej","2026-05-17 01:09:38"
"15190","VSK","P","Czerwiński, Jan","2026-05-17 01:51:19"
"17825","Wamaden","P","Ahlborn, Franz","2026-05-17 02:05:57"
"17826","Galatasaray","Ś","Stando, Józef","2026-05-17 03:15:46"
"17824","Flushers","L","Hauck, Marcus","2026-05-17 04:41:44"
"15191","Вуглик","R","Skolimowski, Władysław","2026-05-17 04:41:46"
"17829","Le Mans 24 Lions","Ś","Ekekrantz, Jan-Axel","2026-05-17 05:44:31"
"17832","Manila Mavericks","Ś","Panasiuk, Maciej","2026-05-17 06:53:40"
"17826","Galatasaray","R","Fitch, Claud","2026-05-17 07:07:59"
"17826","Eesti võrkpall","Ś","Małysz, Marek","2026-05-17 07:09:16"
"17821","Bondiola FC","Ś","Emır, Evrim","2026-05-17 10:00:26"
"17831","HHC","P","Cheminade, Tom","2026-05-17 10:41:31"
"15189","Shenzhen","Ś","Nugin, Olev","2026-05-17 14:25:31"
"15192","BLUEWING","Ś","Piwowarczyk, Tomasz","2026-05-17 20:14:12"
"15190","BOROVIČKA","A","Sabah, Atak","2026-05-17 20:31:57"
"17825","SnoopFire","Ś","Bislimi, Thore","2026-05-17 20:51:16"
"17831","Iraklis SKG","P","Charvin, Arthur","2026-05-18 00:18:05"
"17821","LaraTeam","P","Bomfim, Cleiton","2026-05-18 01:51:50"
"17834","City Hunter Team","R","Ferreira, Gilles","2026-05-18 02:51:48"
"17821","VT Diksmuide","Ś","Gire, Jean","2026-05-18 05:34:48"
"15188","HIKERS","P","Minichilo, Emanuel","2026-05-18 07:29:23"
"17825","gelp","A","Harborn, Moses","2026-05-18 09:44:58"
"17831","leagends","P","Mangal, Arild","2026-05-18 10:35:50"
"17823","Salonit","A","Länström, Caj","2026-05-18 11:35:50"
"17825","Egypt","A","Zacco, Leif","2026-05-18 11:35:53"
"17832","wolfshadow","P","Guldstrand, Bengt Ĺke","2026-05-18 11:35:53"
"17828","IMProVision","R","Pyykkö, Per-Gunnar","2026-05-18 13:25:32"
"15189","Manjača","P","Terziev, Dimitar","2026-05-18 18:37:23"
"17830","Claret Madrid","P","Bragd, Roy","2026-05-19 03:15:18"
"17835","ACE_53","R","Hantoft, Klas-Göran","2026-05-19 04:15:20"
"17832","Ninjas","R","Nery, Everton","2026-05-19 05:44:29"
"17833","Frisk","P","Malkusson, Per-Ove","2026-05-19 06:35:59"
"17831","Vollingo","P","Torgeby, Carl Erik","2026-05-19 15:20:02"
"17827","Iraklis Thessaloniki","L","Nogueira, Durval","2026-05-19 18:45:04"
"17835","KolyanVC","R","Saraiva, Laureano","2026-05-20 11:39:47"
"17825","xdddddddd","A","Gällström, Noel","2026-05-20 13:35:51"
"17833","TomSmith","P","Levau, Per-Inge","2026-05-20 20:59:40"
"17832","TJ Třinec","L","Kebede, Lennart","2026-05-20 21:45:03"
"17834","Aeolos VC","Ś","Nytomt, Lars-Hĺkan","2026-05-20 21:53:43"
"17829","Varsovia Vc","Ś","Gunnari, Carl-Fredrik","2026-05-21 22:55:04"
"17827","Asteras Tripolis","A","Zakariasson, Per-Olof","2026-05-22 02:05:52"
"17824","Williamjack","Ś","Ruljeff, Lars-Ĺke","2026-05-22 06:07:22"
"17821","con cac","P","Kuoppa, Sven-Bertil","2026-05-22 10:16:30"
"17824","Ponorogo Bandit","L","Remes, Tuve","2026-05-23 09:51:37"
"17833","Vestri","A","Espersson, Lars-Gunnar","2026-05-23 14:23:25"
"17830","KoKa","L","Höft, Jonathan","2026-05-24 11:54:17"
