ID Ligi,Klub,Pozycja,Zawodnik,Powrót do gry
"15193","Roma Volley","Ś","Lusini, Astolfo","2026-05-17 00:09:41"
"18742","gufonesss","A","Panuccio, Daniele","2026-05-17 01:03:25"
"18731","Frosinone Lions","Ś","Bongiovanni, Nunzio","2026-05-17 02:26:49"
"15195","WhiteGreen","R","Buonfantino, Mimmo","2026-05-17 05:44:35"
"15194","Atletico...ma non troppo","R","Fumagalli, Gian","2026-05-17 08:35:59"
"15197","Silent Hunter","P","Bouteiller, Louis","2026-05-17 18:05:12"
"18740","Real Maracalagonis","Ś","Balzamo, Luciano","2026-05-17 18:14:16"
"15197","Spina Volley","A","Fraleoni, Eustachio","2026-05-17 20:31:56"
"18731","MilesStones","R","Rigucci, Emanuele","2026-05-17 20:45:03"
"18738","Tuscania Volley","Ś","Stracciari, Vittorio","2026-05-17 20:51:13"
"18729","Lube Mendes Pallavolo","P","Cosentino, Alfio","2026-05-17 21:35:28"
"18728","Volley Roma","Ś","Ballerini, Gian","2026-05-18 05:26:48"
"15195","Atomic Cats","Ś","Pieraccini, Gianni","2026-05-18 08:36:06"
"18737","Volley Gallo","Ś","Cecchini, Gerardo","2026-05-18 09:36:00"
"18739","Castruccio Avenza","Ś","Balzamo, Emanuele","2026-05-18 13:51:57"
"18737","Volley Gallo","P","Ciccone, Alessandro","2026-05-18 19:12:33"
"18740","Skordyon","P","Botta, Benedetto","2026-05-18 21:51:14"
"18739","CutraVolley","P","Misiti, Fabrizio","2026-05-18 22:45:03"
"18727","Homeros35","Ś","Di Lorenzo, Astolfo","2026-05-18 23:24:15"
"15194","Borgonero playvolley","P","Gueiros, Mauro","2026-05-19 00:24:12"
"18741","Robursiena volley","P","Panato, Nicola","2026-05-19 06:36:02"
"18729","ModolenaCountry","R","Fossier, Kalman","2026-05-19 18:12:31"
"18728","Weee","P","Di Lorenzo, Manlio","2026-05-19 20:45:04"
"18741","Team Spider","L","Lavezzi, Gaetano","2026-05-19 23:10:08"
"18729","FB Volley Team","R","Piredda, Umberto","2026-05-20 00:33:40"
"18735","Django team","L","Ricca, Cuono","2026-05-20 04:26:48"
"18730","Volley Flambro","Ś","Emiliani, Gianluigi","2026-05-20 09:44:56"
"18730","Alfa Team","Ś","Vallieri, Donato","2026-05-20 13:20:02"
"15194","Lezzeno Matador","A","Shibata, Iwao","2026-05-20 21:45:04"
"18737","Cachi","P","Folli, Bruno","2026-05-20 21:59:35"
"18740","Pinguini83","L","Perandini, Eugenio","2026-05-21 07:51:37"
"18729","Bonola Volley","R","Di Biase, Piero","2026-05-21 19:12:29"
"18729","FAVL","P","Pederboni, Marco","2026-05-22 00:33:44"
"18737","Sorrento","R","Tortora, Gaetano","2026-05-22 00:33:44"
"18738","Vafanculo","P","Garbarino, Ruggiero","2026-05-22 21:35:30"
"18740","Pescara Manzia","Ś","Perandini, Filippo","2026-05-23 09:02:48"
"18732","Kamemodai","P","Compassi, Dimitris","2026-05-23 09:54:19"
"18729","Collarinhos","Ś","Pergreffi, Romano","2026-05-23 20:41:10"
"18730","Marsala Volley","L","Nocerino, Bruno","2026-05-24 00:49:47"
"18733","PSE Volley","Ś","Probola, Waldemar","2026-05-24 07:51:37"
"18728","Weee","Ś","Masdema, Petrit","2026-05-24 12:54:15"
"18733","Setdown","L","Ricca, Giuliano","2026-05-25 09:51:34"
"18738","Pieve Volley","P","Frappi, Geppino","2026-05-26 01:33:43"
